File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestDeleteHBaseCells,TestDeleteHBaseCells,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestPutHBaseJSON,TestPutHBaseJSON,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestFetchHBaseRow,TestFetchHBaseRow,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.DeleteTestBase,DeleteTestBase,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestGetHBase,TestGetHBase,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestGetHBase,MockGetHBase,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestGetHBase,MockCacheClient,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestScanHBase,TestScanHBase,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.TestPutHBaseRecord,TestPutHBaseRecord,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.util.Bytes,Bytes,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.util.TestObjectSerDe,TestObjectSerDe,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.io.TestJsonQualifierAndValueRowSerializer,TestJsonQualifierAndValueRowSerializer,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.test.java.org.apache.nifi.hbase.io.TestJsonFullRowSerializer,TestJsonFullRowSerializer,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.PutHBaseCell,PutHBaseCell,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.DeleteHBaseCells,DeleteHBaseCells,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.AbstractPutHBase,AbstractPutHBase,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.GetHBase,GetHBase,1,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.GetHBase,ScanResult,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.GetHBase,StateKeys,1,0
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.DeleteHBaseRow,DeleteHBaseRow,0,1
nifi.nifi-nar-bundles.nifi-hbase-bundle.nifi-hbase-processors.src.main.java.org.apache.nifi.hbase.AbstractDeleteHBase,AbstractDeleteHBase,0,1
